Nationality,A,B-1,B-2,"B-1,2","B-1,2 / BCC",C,C-1/D,CW,D,E,F,G,H,I,J
Afghanistan,1.0,1.0,1.0,664.0,0.0,1.0,0.0,0.0,3.0,1.0,462.0,152.0,66.0,3.0,259.0
Albania,211.0,10.0,0.0,13991.0,0.0,0.0,164.0,0.0,1.0,27.0,590.0,74.0,71.0,14.0,663.0
Andorra,14.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,1.0,2.0,11.0
Antigua and Barbuda,13.0,1.0,0.0,1987.0,0.0,5.0,13.0,0.0,0.0,0.0,81.0,8.0,21.0,0.0,22.0
Argentina,830.0,67.0,16.0,202479.0,0.0,122.0,1398.0,0.0,0.0,1243.0,2133.0,428.0,1025.0,146.0,7693.0
Armenia,183.0,5.0,2.0,4970.0,0.0,7.0,0.0,0.0,5.0,64.0,443.0,111.0,47.0,7.0,314.0
Asia,,,,,,,,,,,,,,,
Australia,5902.0,58.0,10.0,4697.0,0.0,39.0,2312.0,0.0,0.0,10320.0,1828.0,267.0,717.0,123.0,1997.0
Austria,358.0,16.0,2.0,1637.0,0.0,2.0,440.0,0.0,0.0,281.0,642.0,143.0,137.0,82.0,1636.0
Azerbaijan,259.0,29.0,17.0,3667.0,0.0,18.0,325.0,0.0,0.0,48.0,772.0,153.0,55.0,12.0,335.0
"Bahamas, The",238.0,6.0,1.0,10734.0,0.0,109.0,138.0,0.0,0.0,0.0,1215.0,40.0,101.0,0.0,87.0
Bahrain,686.0,9.0,45.0,3382.0,0.0,0.0,21.0,0.0,0.0,1.0,108.0,47.0,18.0,0.0,73.0
Bangladesh,1267.0,70.0,3.0,15335.0,0.0,27.0,809.0,33.0,0.0,25.0,9559.0,557.0,495.0,67.0,670.0
Barbados,51.0,0.0,0.0,6226.0,0.0,32.0,220.0,0.0,0.0,0.0,164.0,34.0,243.0,0.0,35.0
Belarus,15.0,5.0,2.0,3978.0,0.0,2.0,377.0,0.0,0.0,3.0,319.0,110.0,71.0,3.0,313.0
Belgium,259.0,35.0,9.0,1862.0,0.0,4.0,1146.0,0.0,0.0,243.0,738.0,236.0,171.0,111.0,1286.0
